"County, State",Latitude,Longitude,Population,Median Age,Physicians #,Median Income,Pop/sq mile,Water per capita,Days of Growth,Shelter in Place (SIP),Days before March 16,Days After March 16/before SIP,Days before SIP,Days of SIP,Growth Rate Before March 16,Growth Rate After March 16 Order Before SIP,Growth After SIP to Current,Total Growth Rate
"Clark, WA",45.771674,-122.485903,432002,36.7,818,56351,676.2,409.81,25,43913,10,7,17,8,1.148698355,1.183385366,1.314662665,1.209423268
"Grant, WA",47.213633,-119.467788,88098,32.1,83,45183,33.3,14295.7,18,43913,3,7,10,8,1.817120593,1.211624604,1.131964955,1.257700739
"Island, WA",48.158436,-122.670503,81054,43.2,174,55394,376.6,120.25,20,43913,5,7,12,8,1.475773162,1.199436951,1.197900461,1.26259857
"Jefferson, WA",47.802641,-123.52181,29676,53.9,91,48176,16.6,789.68,25,43913,10,7,17,8,1.116123174,1.128672938,1.090507733,1.111335331
"King, WA",47.493554,-121.832375,1916441,37.1,10222,67706,912.9,127.05,32,43913,17,7,24,8,1.439443552,1.132173051,1.090507733,1.27421149
"Kitsap, WA",47.639687,-122.649636,240862,39.4,697,60673,635.9,116.43,23,43913,8,7,15,8,1.275373107,1.16180472,1.154220595,1.197380546
"Kittitas, WA",47.124444,-120.676714,39532,31.9,46,41563,17.8,7621.88,24,43913,9,7,16,8,1.129830964,1.07570374,1.060510561,1.090507733
"Pierce, WA",47.040716,-122.144709,796836,35.9,2127,55941,476.3,263.32,25,43913,10,7,17,8,1.459974491,1.162181562,1.13702893,1.264333678
"Skagit, WA",48.493066,-121.816278,119534,40.1,355,54335,67.5,390.12,21,43913,6,7,13,8,1.383087554,1.304502527,1.106339982,1.24578723
"Snohomish, WA",48.054913,-121.766412,694571,37.1,1208,64677,341.8,194.61,70,43913,55,7,62,8,1.101025376,1.14644655,1.113931733,1.106958668
"Spokane, WA",47.620379,-117.404392,468684,36.8,1550,44799,267.2,434.87,36,43913,21,7,28,8,1.027006614,1.225139968,1.217492388,1.103800989
"Thurston, WA",46.932598,-122.829441,250979,38.5,795,58533,349.4,201.99,20,43913,5,7,12,8,1.319507911,1.155478352,1.202212029,1.213562259
"Whatcom, WA",48.842653,-121.836433,200434,36.6,608,47490,95.5,442.91,21,43913,6,7,13,8,1.200936955,1.485994289,1.116611494,1.254028837
"Yakima, WA",46.456558,-120.740145,239054,32.2,470,41055,56.6,2842.61,19,43913,4,7,11,8,1.189207115,1.299263223,1.247878108,1.253792447
"Dane, WI",43.067468,-89.417852,491357,34.4,3076,58002,407.7,650.65,55,43915,40,9,49,6,1.059253725,1.273334538,1.140827136,1.100516086
"Fond du Lac, WI",43.754722,-88.493284,100070,40.2,190,50678,141.2,135.7,20,43915,5,9,14,6,1.406282388,1.056244412,1.034010691,1.127378204
"Milwaukee, WI",43.017655,-87.481575,959521,33.6,3718,42012,3926,1328.27,18,43915,3,9,12,6,1.866255578,1.429969148,1.129265575,1.381732215
"Waukesha, WI",43.019308,-88.306707,383154,42,2030,72982,709.4,95.97,20,43915,5,9,14,6,1.24573094,1.34074924,1.157476051,1.259551904
"Winnebago, WI",44.085707,-88.668149,163370,37.9,489,47486,384.3,480.12,17,43915,2,9,11,6,1.732050808,1.058400073,1.140434762,1.151485287
